Type de mission;Code type de mission;Mission;Code mission;Programme;Code programme;Action;Code action;Sous-action;Code sous-action;Autorisations d'engagement;Crédits de paiement
Budget général;BG;Action et transformation publiques;TR;Rénovation des cités administratives et autres sites domaniaux multi-occupants;348;Etudes;11;;;20000000;20000000
Budget général;BG;Action et transformation publiques;TR;Rénovation des cités administratives et autres sites domaniaux multi-occupants;348;Travaux et gros entretien à la charge du propriétaire;12;;;465000000;47000000
Budget général;BG;Action et transformation publiques;TR;Rénovation des cités administratives et autres sites domaniaux multi-occupants;348;Acquisitions, construction;13;;;415000000;33000000
Budget général;BG;Action et transformation publiques;TR;Fonds pour la transformation de l'action publique;349;Fonds pour la transformation de laction publique;1;;;250000000;160000000
Budget général;BG;Action et transformation publiques;TR;Fonds d'accompagnement interministériel Ressources humaines;351;Accompagnement interministériel Ressources humaines;1;;;50000000;50000000
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coordination de l'action diplomatique;1;;;99882328;99882328
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Action européenne;2;;;54377128;54377128
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Contributions internationales;4;;;682841551;683841551
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Coopération de sécurité et de défense;5;;;104042762;104042762
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Soutien;6;;;224271811;222093475
Budget général;BG;Action extérieure de l'État;AA;Action de la France en Europe et dans le monde;105;Réseau diplomatique;7;;;610592015;610133284
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Appui au réseau;1;;;41101383;41101383
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Coopération culturelle et promotion du français;2;;;67015315;67015315
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Objectifs de développement durable;3;;;3372754;3372754
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Enseignement supérieur et recherche;4;;;94578610;94578610
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Agence pour l'enseignement français à l'étranger;5;;;384006841;384006841
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Dépenses de personnel concourant au programme "Diplomatie culturelle et d'influence";6;;;74235198;74235198
Budget général;BG;Action extérieure de l'État;AA;Diplomatie culturelle et d'influence;185;Diplomatie économique et développement du tourisme;7;;;35261020;35261020
Budget général;BG;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Offre d'un service public de qualité aux Français à l'étranger;1;;;214170044;214170044
Budget général;BG;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Accès des élèves français au réseau AEFE;2;;;105300000;105300000
Budget général;BG;Action extérieure de l'État;AA;Français à l'étranger et affaires consulaires;151;Instruction des demandes de visa;3;;;54770324;54770324
Budget général;BG;Action extérieure de l'État;AA;Présidence française du G7;347;Préparation et organisation du Sommet du G7;1;;;20628000;23008000
Budget général;BG;Action extérieure de l'État;AA;Présidence française du G7;347;Fonctionnement du Secrétariat général et communication;3;;;1372000;1392000
Budget général;BG;Administration générale et territoriale de l'État;AB;Administration territoriale;307;Coordination de la sécurité des personnes et des biens;1;;;172538112;172538112
